"id";"nom";"slug";"categorie";"photo";"description";"origine";"origine_affichee";"matiere";"densite";"style";"velours";"tissage";"tailles_disponibles";"entretien";"contenu";"prix";"histoire";"coup_de_coeur";"ruban";"nom_en"
"per-med";"Tapis Persan à Médaillon";"tapis-persan-a-medaillon";"Tapis & Qali";"per-med.jpg";"Médaillon central rouge garance sur champ fleuri, écoinçons indigo. La pièce maîtresse d'un salon classique.";"Iran";"Iran · Persan";"Laine & coton";"≈ 500 000 pts/m²";"Médaillon classique";"";"";"≈ 300 × 200 cm";"";"";"sur demande";"";"oui";"";"Persian Medallion Rug"
"per-mod";"Tapis Persan Ivoire";"tapis-persan-ivoire";"Tapis & Qali";"per-mod.jpg";"Champ ivoire, médaillon central finement dessiné, arabesques tout autour. Lumineux, il agrandit la pièce.";"Iran";"Iran · Persan";"Laine & coton";"Très haute densité";"Médaillon fin";"";"";"≈ 300 × 400 cm";"";"";"sur demande";"";"oui";"";"Ivory Persian Rug"
"tur-12";"Grand Tapis Turc 12 m²";"grand-tapis-turc-12-m";"Tapis & Qali";"tur-12.jpg";"Le grand format qui couvre un séjour entier. Densité de 720 000 points — le dessin reste net même de près.";"Turquie";"Turquie";"Polypropylène heatset";"720 000 pts/m²";"Médaillon · 720 000 pts";"";"";"≈ 400 × 300 cm";"";"";"sur demande";"";"oui";"Grand format";"Large Turkish Rug 12 m²"
"tur-6";"Tapis Turc 6 m²";"tapis-turc-6-m";"Tapis & Qali";"tur-6.jpg";"Format passe-partout, rouge profond et bordure travaillée. Le tapis turc qui va partout.";"Turquie";"Turquie";"Polypropylène heatset";"Haute densité";"Médaillon rouge";"";"";"≈ 300 × 200 cm";"";"";"sur demande";"";"";"";"Turkish Rug 6 m²"
"afg-hand";"Tapis Afghan Noué Main";"tapis-afghan-noue-main";"Tapis & Qali";"afg-hand.jpg";"Teintes sourdes, motif gul répété, laine douce patinée. Une pièce unique nouée sur métier — la fierté de la maison.";"Afghanistan";"Afghanistan · Fait main";"Laine nouée main, teintes végétales";"Noué main";"Chobi / Ziegler";"";"";"≈ 300 × 200 cm";"";"";"sur demande";"";"oui";"Fait main";"Afghan Hand-knotted Rug"
"afg-kilim";"Kilim Afghan";"kilim-afghan";"Tapis & Qali";"";"Léger, réversible, graphique. Le kilim se superpose, se déplace, s'emporte — l'esprit nomade.";"Afghanistan";"Afghanistan · Tissé plat";"Laine, tissage plat";"Tissé plat";"Klim géométrique";"";"";"≈ 250 × 150 cm";"";"";"sur demande";"";"";"";"Afghan Kilim"
"tosh-kab";"Toshak Kabuli";"toshak-kabuli";"Toshak & Majlis";"tosh-kab.jpg";"L'assise signature de Kaboul : matelas bas et coussins au motif kabuli. On s'y installe, on y reçoit.";"Afghanistan";"Afghanistan";"Velours façonné, rembourrage ferme";"";"Design kabuli";"";"";"";"";"Matelas + dossiers";"sur demande";"";"oui";"";"Kabuli Toshak"
"tosh-2b";"Set Toshak · 2 Baleshta";"set-toshak-2-baleshta";"Toshak & Majlis";"tosh-2b.jpg";"Le set deux coussins : juste ce qu'il faut pour un coin salon ou une petite pièce.";"Afghanistan";"Afghanistan";"Tissu jacquard";"";"Set compact";"";"";"";"";"Toshak + 2 coussins";"sur demande";"";"";"";"Toshak Set · 2 Baleshta"
"tosh-3b";"Set Toshak · 3 Baleshta";"set-toshak-3-baleshta";"Toshak & Majlis";"tosh-3b.jpg";"La configuration complète : trois coussins, lola balesht cylindrique et tablayi. Le vrai majlis afghan.";"Afghanistan";"Afghanistan";"Jacquard, finitions main";"";"Lola balesht · tablayi";"";"";"";"";"Toshak + 3 coussins + traversin";"sur demande";"";"oui";"Set complet";"Toshak Set · 3 Baleshta"
"sarq";"Sarqalini · Surtapis";"sarqalini-surtapis";"Textiles & Décor";"sarq.jpg";"La petite pièce qu'on pose sur le grand tapis : motif mihrab, finitions franges. Pour réchauffer un coin.";"Oriental";"Oriental";"Velours, motif mihrab";"";"Roy farshi";"";"";"≈ 110 × 70 cm";"";"";"sur demande";"";"";"";"Sarqalini · Rug Topper"
